id1,id2,logical,text,inherit,term1,term2
HP:0001238,HP:0001500,f,t,f,Slender finger,Broad finger
HP:0000445,HP:0000460,t,t,f,Wide nose,Narrow nose
HP:0000248,HP:0000268,t,t,f,Brachycephaly,Dolichocephaly
HP:0020183,HP:0020184,f,t,f,Increased circulating A-type natriuretic peptide concentration,Decreased circulating A-type natriuretic peptide concentration
HP:0011424,HP:0031831,t,t,f,Increased serum zinc,Decreased serum zinc
HP:0005585,HP:0005590,f,t,f,Spotty hyperpigmentation,Spotty hypopigmentation
HP:0025521,HP:0041079,f,t,f,Increased body fat percentage,Decreased body fat percentage
HP:0030607,HP:0030608,f,t,f,Reduced OCT-measured macular thickness,Increased OCT-measured macular thickness
HP:0032136,HP:0032298,f,t,f,Decreased circulating IgG1 concentration,Increased circulating IgG1 level
HP:0410386,HP:0410391,f,t,f,"Decreased proportion of CD4-positive, alpha-beta memory T cells","Increased proportion of CD4-positive, alpha-beta memory T cells"
HP:0004005,HP:0004010,t,t,f,Large radial epiphyses,Small radial epiphyses
HP:0001847,HP:0010109,t,t,f,Long hallux,Short hallux
HP:0030783,HP:0430142,f,t,f,Increased circulating interleukin 6 concentration,Reduced circulating interleukin 6 concentration
HP:0410376,HP:0410377,f,t,f,Increased proportion of naive CD8 T cells,Decreased proportion of naive CD8 T cells
HP:0000684,HP:0006288,f,t,f,Delayed eruption of teeth,Advanced eruption of teeth
HP:0031413,HP:6000036,f,t,f,Short telomere length,Long telomere length
HP:0000331,HP:0400000,t,t,f,Short chin,Tall chin
HP:0000294,HP:0009890,f,t,f,Low anterior hairline,High anterior hairline
HP:0009694,HP:0010249,t,f,f,Small thumb epiphysis,Enlarged epiphyses of the distal phalanges of the hand
HP:0010260,HP:0010265,t,t,f,Enlarged epiphyses of the middle phalanges of the hand,Small epiphyses of the middle phalanges of the hand
HP:0100216,HP:0100221,t,t,f,Enlarged epiphysis of the middle phalanx of the 5th toe,Small epiphysis of the middle phalanx of the 5th toe
HP:0033373,HP:0033374,f,t,f,Increased KCO,Decreased KCO
HP:0500156,HP:0500157,t,t,f,Hyperasparaginemia,Hypoasparaginemia
HP:0030018,HP:0030019,f,t,f,Decreased female libido,Increased female libido
HP:0000568,HP:0001090,t,f,f,Microphthalmia,Abnormally large globe
HP:0000327,HP:0430028,t,t,f,Hypoplasia of the maxilla,Hyperplasia of the maxilla
HP:0025434,HP:0031905,f,t,f,Reduced circulating CH50 activity,Increased total hemolytic complement activity
HP:0032997,HP:0032998,f,t,f,Decreased cystatin C level,Increased cystatin C level
HP:0009521,HP:0010231,t,f,f,Small epiphysis of the middle phalanx of the 2nd finger,Enlarged epiphyses of the phalanges of the hand
HP:0001265,HP:0001347,t,t,f,Hyporeflexia,Hyperreflexia
HP:0000426,HP:0005280,f,t,f,Prominent nasal bridge,Depressed nasal bridge
HP:0006155,HP:0009803,f,t,f,Long phalanx of finger,Short phalanx of finger
HP:0031843,HP:0033844,f,t,f,Abnormally slow thought process,Racing thoughts
HP:0410385,HP:0410392,f,t,f,"Decreased proportion of CD8-positive, alpha-beta memory T cells","Increased proportion of CD8-positive, alpha-beta memory T cells"
HP:0009206,HP:0009211,t,t,f,Enlarged epiphysis of the middle phalanx of the 5th finger,Small epiphysis of the middle phalanx of the 5th finger
HP:0009354,HP:0009413,t,f,f,Small epiphysis of the proximal phalanx of the 3rd finger,Enlarged epiphyses of the 3rd finger
HP:0009804,HP:0011069,t,t,f,Tooth agenesis,Supernumerary tooth
HP:0000594,HP:0007765,f,t,f,Shallow anterior chamber,Deep anterior chamber
HP:0002945,HP:0030320,t,f,f,Intervertebral space narrowing,Increased intervertebral space
HP:0010130,HP:0010135,t,t,f,Enlarged epiphysis of the proximal phalanx of the hallux,Small epiphysis of the proximal phalanx of the hallux
HP:0030618,HP:0030619,f,t,f,Increased OCT-measured foveal thickness,Reduced OCT-measured foveal thickness
HP:0032351,HP:0500141,t,f,f,Phenylalaninuria,Hypophenylalaninemia
HP:0034171,HP:0034172,f,t,f,Reduced circulating interleukin 23 concentration,Increased circulating interleukin 23 concentration
HP:0032137,HP:0032297,f,t,f,Decreased circulating IgG3 concentration,Increased circulating IgG3 level
HP:0033445,HP:0045045,t,f,f,Reduced circulating acylcarnitine concentration,Elevated circulating acylcarnitine concentration
HP:0002600,HP:0007083,t,f,f,Hyporeflexia of lower limbs,Hyperactive patellar reflex
HP:0100080,HP:0100085,t,t,f,Enlarged epiphyses of the 5th toe,Small epiphyses of the 5th toe
HP:0001347,HP:0012391,t,f,f,Hyperreflexia,Hyporeflexia of upper limbs
HP:0001831,HP:0010511,t,t,f,Short toe,Long toe
HP:0031794,HP:0040302,t,f,f,Decreased circulating glycerol level,Hyperglycerolemia
HP:0009678,HP:0009683,t,t,f,Enlarged epiphysis of the distal phalanx of the thumb,Small epiphysis of the distal phalanx of the thumb
HP:0031594,HP:0031597,f,t,f,PR segment depression,PR segment elevation
HP:0500265,HP:0500266,f,t,f,"Increased proportion of CD8-positive, alpha-beta TEMRA T cells","Decreased proportion of CD8-positive, alpha-beta TEMRA T cells"
HP:0011580,HP:0025522,t,f,f,Short chordae tendineae of the mitral valve,Elongated chordae tendinae of the mitral valve
HP:0012417,HP:0410214,t,f,f,Hypocapnia,Hypercapnia in cord blood
HP:0008182,HP:6000152,f,t,f,Adrenocortical hypoplasia,Adrenocortical hyperplasia
HP:0031229,HP:0031230,f,t,f,Increased incisura length,Decreased incisura length
HP:0500227,HP:0500228,t,t,f,Increased CSF serine concentration,Decreased CSF serine concentration
HP:0011271,HP:0011272,f,t,f,Prominent tragus,Underdeveloped tragus
HP:0012691,HP:0012692,f,t,f,Focal T2 hypointense thalamic lesion,Focal T2 hyperintense thalamic lesion
HP:0003532,HP:0500163,t,f,f,Ornithinuria,Hypoornithinemia
HP:0003165,HP:0031817,f,t,f,Elevated circulating parathyroid hormone level,Decreased circulating parathyroid hormone level
HP:0001265,HP:0007083,t,f,f,Hyporeflexia,Hyperactive patellar reflex
HP:0033909,HP:0033910,f,t,f,Arcuate vein medial hypertrophy,Arcuate vein medial atrophy
HP:0001988,HP:0003074,t,f,f,Recurrent hypoglycemia,Hyperglycemia
HP:0010249,HP:0010254,t,t,f,Enlarged epiphyses of the distal phalanges of the hand,Small epiphyses of the distal phalanges of the hand
HP:0012748,HP:0012749,f,t,f,Focal T2 hyperintense brainstem lesion,Focal T2 hypointense brainstem lesion
HP:0045050,HP:0045051,f,t,f,Increased DLCO,Decreased DLCO
HP:0000293,HP:0009938,t,f,f,Full cheeks,Sunken cheeks
HP:0100205,HP:0100210,t,t,f,Enlarged epiphysis of the distal phalanx of the 5th toe,Small epiphysis of the distal phalanx of the 5th toe
HP:0003217,HP:0500147,t,t,f,Hyperglutaminemia,Hypoglutaminemia
HP:0410053,HP:0410054,t,t,f,Elevated circulating gamma-aminobutyric acid concentration,Decreased circulating GABA concentration
HP:0012608,HP:0012609,t,t,f,Hypermagnesiuria,Hypomagnesiuria
HP:0000319,HP:0002002,f,t,f,Smooth philtrum,Deep philtrum
HP:0025330,HP:0025331,f,t,f,Downgaze palsy,Upgaze palsy
HP:0100227,HP:0100232,t,t,f,Enlarged epiphysis of the proximal phalanx of the 5th toe,Small epiphysis of the proximal phalanx of the 5th toe
HP:0011969,HP:0030344,t,t,f,Elevated circulating luteinizing hormone level,Decreased circulating luteinizing hormone level
HP:0012360,HP:0012361,f,t,f,Decreased fucosylation of O-linked protein glycosylation,Increased fucosylation of O-linked protein glycosylation
HP:0034168,HP:0034169,f,t,f,Reduced circulating interleukin 22 concentration,Increased circulating interleukin 22 concentration
HP:0010236,HP:0010271,t,f,f,Small epiphyses of the phalanges of the hand,Enlarged epiphyses of the proximal phalanges of the hand
HP:0000859,HP:0004319,t,t,f,Increased circulating aldosterone concentration,Decreased circulating aldosterone concentration
HP:0030050,HP:0100785,f,t,f,Narcolepsy,Insomnia
HP:0040194,HP:0040195,f,t,f,Increased head circumference,Decreased head circumference
HP:0410363,HP:0410364,f,t,f,Increased monosialylated core 1 O-glycan level,Decreased monosialylated core 1 O-glycan level
HP:0020293,HP:0020294,f,t,f,Decreased lymph-node cellular CD19 expression,Increased lymph-node cellular CD19 expression
HP:0012350,HP:0012351,f,t,f,Decreased sialylation of N-linked protein glycosylation,Increased sialylation of N-linked protein glycosylation
HP:0030143,HP:0030144,f,t,f,Hyperactive bowel sounds,Hypoactive bowel sounds
HP:0010809,HP:0010811,t,t,f,Broad uvula,Narrow uvula
HP:0004349,HP:0011002,t,f,f,Reduced bone mineral density,Osteopetrosis
HP:0500203,HP:0500204,t,t,f,Increased CSF arginine concentration,Decreased CSF arginine concentration
HP:0010681,HP:0010687,t,f,f,Elevated intestinal alkaline phosphatase,Low intestinal alkaline phosphatase
HP:0004826,HP:0004851,f,t,f,Folate-unresponsive megaloblastic anemia,Folate-responsive megaloblastic anemia
HP:0030371,HP:0030372,f,t,f,Increased proportion of naive B cells,Decreased proportion of naive B cells
HP:0030384,HP:0030385,f,t,f,Decreased proportion of marginal zone B cells,Increased proportion of marginal zone B cells
HP:0000977,HP:0030053,t,f,f,Soft skin,Stiff skin
HP:0020112,HP:0020113,f,t,f,Increased proportion of CD4+CD25+ regulatory T cells,Decreased proportion of CD4+CD25+ regulatory T cells
HP:0009349,HP:0009418,t,f,f,Enlarged epiphysis of the proximal phalanx of the 3rd finger,Small epiphyses of the 3rd finger
HP:0012505,HP:0012506,t,t,f,Enlarged pituitary gland,Small pituitary gland
HP:0000668,HP:0011069,f,t,f,Hypodontia,Supernumerary tooth
HP:0009159,HP:0009385,t,f,f,Small epiphysis of the proximal phalanx of the 5th finger,Enlarged epiphyses of the 5th finger
HP:0011009,HP:0011010,f,t,f,Acute,Chronic
HP:0410388,HP:0410393,f,t,f,"Decreased proportion of central memory CD4-positive, alpha-beta T cells","Increased proportion of central memory CD4-positive, alpha-beta T cells"
HP:0009667,HP:0009672,t,t,f,Enlarged epiphysis of the proximal phalanx of the thumb,Small epiphysis of the proximal phalanx of the thumb
HP:0500154,HP:0500233,t,f,f,Hypoalaninemia,Increased CSF alanine concentration
HP:0003348,HP:0500154,t,t,f,Hyperalaninemia,Hypoalaninemia
HP:0410181,HP:0410182,f,t,f,Increased glucose-6-phosphate dehydrogenase level in dried blood spot,Decreased glucose-6-phosphate dehydrogenase level in dried blood spot
HP:0500187,HP:0500188,t,t,f,Increased CSF valine concentration,Decreased CSF valine concentration
HP:0006462,HP:0011001,t,f,f,Generalized bone demineralization,Increased bone mineral density
HP:0000954,HP:0006114,t,f,f,Single transverse palmar crease,Multiple palmar creases
HP:0003362,HP:0031243,t,t,f,Increased VLDL cholesterol concentration,Decreased VLDL cholesterol concentration
HP:0000691,HP:0001572,t,t,f,Microdontia,Macrodontia
HP:0025136,HP:0025137,f,t,f,Increased serum estriol,Decreased serum estriol
HP:0001090,HP:0007633,t,f,f,Abnormally large globe,Bilateral microphthalmos
HP:0030631,HP:0030632,f,t,f,Hyperautofluorescent macular lesion,Hypoautofluorescent macular lesion
HP:0001882,HP:0001974,t,t,f,Leukopenia,Leukocytosis
HP:0000103,HP:0011037,t,t,f,Polyuria,Decreased urine output
HP:0025158,HP:0025159,f,t,f,Hyperautofluorescent retinal lesion,Hypoautofluorescent retinal lesion
HP:0008348,HP:0032299,f,t,f,Decreased circulating IgG2 concentration,Increased circulating IgG2 level
HP:0002160,HP:0020222,t,f,f,Hyperhomocystinemia,Hypohomocysteinemia
HP:0003538,HP:0034203,t,t,f,Increased iduronate sulfatase level,Decreased iduronate sulfatase level
HP:0003073,HP:0012117,t,t,f,Hypoalbuminemia,Hyperalbuminemia
HP:0002907,HP:0012587,f,t,f,Microscopic hematuria,Macroscopic hematuria
HP:0025624,HP:0410394,f,t,f,Reduced proportion of CD4+ effector memory T cells,"Increased proportion of effector memory CD4-positive, alpha-beta T cells"
HP:0010545,HP:0011477,f,t,f,Downbeat nystagmus,Upbeat nystagmus
HP:0001945,HP:0002045,f,t,f,Fever,Hypothermia
HP:0000179,HP:0010282,f,t,f,Thick lower lip vermilion,Thin lower lip vermilion
HP:0001997,HP:0003537,t,f,f,Gout,Hypouricemia
HP:0003452,HP:0040303,t,t,f,Increased circulating iron concentration,Decreased circulating iron concentration
HP:0002914,HP:0012601,t,t,f,Hyperchloriduria,Hypochloriduria
HP:0010569,HP:0034935,t,f,f,Elevated circulating 7-dehydrocholesterol concentration,Decreased circulating 7-dehydrocholesterol concentration
HP:0002946,HP:0030305,t,f,f,Supernumerary vertebrae,Decreased number of vertebrae
HP:5201007,HP:5201008,f,t,f,Incomplete cleft maxillary alveolar ridge,Complete cleft maxillary alveolar ridge
HP:0001987,HP:0100493,t,t,f,Hyperammonemia,Hypoammonemia
HP:0003194,HP:0033142,t,t,f,Short nasal bridge,Long nasal bridge
HP:0011509,HP:0040030,t,f,f,Macular hyperpigmentation,Chorioretinal hypopigmentation
HP:0032994,HP:0032995,f,t,f,Supernumerary pulmonary fissure,Decreased pulmonary fissure count
HP:0001347,HP:0002600,t,f,f,Hyperreflexia,Hyporeflexia of lower limbs
HP:0033633,HP:0033634,f,t,f,Decreased alveolar volume,Increased alveolar volume
HP:0032311,HP:0032312,f,t,f,Increased circulating globulin level,Decreased circulating globulin level
HP:0006266,HP:0006267,t,t,f,Small placenta,Large placenta
HP:0031219,HP:0031220,f,t,f,Reduced radioactive iodine uptake,Increased radioactive iodine uptake
HP:0025708,HP:0025710,f,t,f,Early young adult onset,Late young adult onset
HP:0033306,HP:0033307,f,t,f,Decreased circulating fetuin A concentration,Increased circulating fetuin A concentration
HP:0002155,HP:0012153,t,t,f,Hypertriglyceridemia,Hypotriglyceridemia
HP:0003125,HP:0030977,f,t,f,Reduced factor VIII activity,Increased factor VIII activity
HP:0410314,HP:0410315,t,t,f,Decreased urinary 1-methylhistidine,Increased urinary 1-methylhistidine
HP:0012648,HP:0012649,t,t,f,Decreased inflammatory response,Increased inflammatory response
HP:0000494,HP:0000582,f,t,f,Downslanted palpebral fissures,Upslanted palpebral fissure
HP:0400004,HP:0400005,t,t,f,Long ear,Short ear
HP:0000154,HP:0000160,t,t,f,Wide mouth,Narrow mouth
HP:0040253,HP:0040254,t,t,f,Increased size of the clitoris,Decreased size of the clitoris
HP:0007074,HP:0033725,f,t,f,Thick corpus callosum,Thin corpus callosum
HP:0009672,HP:0009689,t,f,f,Small epiphysis of the proximal phalanx of the thumb,Enlarged thumb epiphysis
HP:0032305,HP:0032306,f,t,f,Decreased circulating mannose-binding protein concentration,Increased circulating mannose-binding protein concentration
HP:0020199,HP:0020200,f,t,f,Decreased circulating 18-hydroxycortisone level,Increased circulating 18-hydroxycortisone level
HP:0100058,HP:0100063,t,t,f,Enlarged epiphyses of the 3rd toe,Small epiphyses of the 3rd toe
HP:0010570,HP:0011432,f,t,f,Low maternal circulating alpha-fetoprotein concentration,Elevated maternal circulating alpha-fetoprotein concentration
HP:0009343,HP:0009413,t,f,f,Small epiphysis of the distal phalanx of the 3rd finger,Enlarged epiphyses of the 3rd finger
HP:0500220,HP:0500221,t,t,f,Increased CSF tyrosine concentration,Decreased CSF tyrosine concentration
HP:0000938,HP:0005789,t,f,f,Osteopenia,Generalized osteosclerosis
HP:0002850,HP:0003496,t,t,f,Decreased circulating total IgM,Increased circulating IgM level
HP:0007410,HP:0034012,f,t,f,Palmoplantar hyperhidrosis,Palmoplantar hypohidrosis
HP:0012138,HP:0012139,t,t,f,Granulocytic hyperplasia,Granulocytic hypoplasia
HP:0033014,HP:0033015,f,t,f,Decreased salivary cortisol level,Increased salivary cortisol level
HP:0031102,HP:0031103,f,t,f,Increased circulating antimullerian hormone concentration,Decreased circulating antimullerian hormone circulation
HP:0000842,HP:0040216,t,t,f,Hyperinsulinemia,Hypoinsulinemia
HP:0009385,HP:0009390,t,t,f,Enlarged epiphyses of the 5th finger,Small epiphyses of the 5th finger
HP:0006462,HP:0011002,t,f,f,Generalized bone demineralization,Osteopetrosis
HP:0003429,HP:0012754,t,t,f,CNS hypomyelination,CNS hypermyelination
HP:0010580,HP:0010585,t,t,f,Enlarged epiphyses,Small epiphyses
HP:0000385,HP:0009748,f,t,f,Small earlobe,Large earlobe
HP:0012418,HP:0012419,t,f,f,Hypoxemia,Hyperoxemia
HP:0034291,HP:0034292,t,f,f,Elevated circulating creatine concentration,Reduced circulating creatine concentration
HP:0031085,HP:0033451,f,t,f,Decreased circulating prealbumin concentration,Increased circulating prealbumin concentration
HP:0001657,HP:0012232,f,t,f,Prolonged QT interval,Shortened QT interval
HP:0007183,HP:0012752,f,t,f,Focal T2 hyperintense basal ganglia lesion,Focal T2 hypointense basal ganglia lesion
HP:0009778,HP:0032524,f,t,f,Short thumb,Long thumb
HP:0011976,HP:0045012,t,f,f,Elevated urinary catecholamine level,Decreased urinary catecholamine concentration
HP:0000527,HP:0010764,t,t,f,Long eyelashes,Short eyelashes
HP:0030897,HP:0410204,t,t,f,Decreased intestinal transit time,Increased intestinal transit time
HP:0002161,HP:0500142,t,t,f,Hyperlysinemia,Hypolysinemia
HP:0004313,HP:0010702,t,t,f,Decreased circulating antibody concentration,Increased circulating antibody concentration
HP:0004324,HP:0004326,t,f,f,Increased body weight,Cachexia
HP:0003155,HP:0003282,t,t,f,Elevated circulating alkaline phosphatase concentration,Decreased circulating alkaline phosphatase activity
HP:0008233,HP:0031216,t,t,f,Decreased circulating progesterone,Increased circulating progesterone
HP:0100553,HP:0200053,f,t,f,Hemihypertrophy of lower limb,Hemihypotrophy of lower limb
HP:0009338,HP:0009418,t,f,f,Enlarged epiphysis of the distal phalanx of the 3rd finger,Small epiphyses of the 3rd finger
HP:0012279,HP:0500138,t,t,f,Hyposerinemia,Hyperserinemia
HP:0003676,HP:0003680,f,t,f,Progressive,Nonprogressive
HP:0004821,HP:0011447,f,t,f,Hypersegmentation of neutrophil nuclei,Hyposegmentation of neutrophil nuclei
HP:0033199,HP:0034163,f,t,f,Increased circulating interleukin 10 concentration,Reduced circulating interleukin 10 concentration
HP:0001821,HP:0011313,t,t,f,Broad nail,Narrow nail
HP:0002162,HP:0012891,f,t,f,Low posterior hairline,High posterior hairline
HP:0009683,HP:0009689,t,f,f,Small epiphysis of the distal phalanx of the thumb,Enlarged thumb epiphysis
HP:0002057,HP:0011222,f,t,f,Prominent glabella,Depressed glabella
HP:0005445,HP:0040010,f,t,f,Enlarged posterior fossa,Small posterior fossa
HP:0010236,HP:0010249,t,f,f,Small epiphyses of the phalanges of the hand,Enlarged epiphyses of the distal phalanges of the hand
HP:0000574,HP:0045074,t,t,f,Thick eyebrow,Thin eyebrow
HP:0006429,HP:0008819,t,t,f,Broad femoral neck,Narrow femoral neck
HP:0010910,HP:0500132,t,t,f,Hypervalinemia,Hypovalinemia
HP:0009217,HP:0009222,t,t,f,Enlarged epiphysis of the middle phalanx of the 4th finger,Small epiphysis of the middle phalanx of the 4th finger
HP:0031222,HP:0034591,f,t,f,Increased circulating thyroxine-binding globulin level,Decreased circulating thyroxine-binding globulin concentration
HP:0040208,HP:0040209,t,f,f,Elevated CSF biopterin level,Decreased CSF biopterin level
HP:0000013,HP:0100878,f,t,f,Hypoplasia of the uterus,Enlarged uterus
HP:0010837,HP:0033145,f,t,f,Decreased circulating ceruloplasmin concentration,Increased circulating ceruloplasmin concentration
HP:0000444,HP:0011120,f,t,f,Convex nasal ridge,Concave nasal ridge
HP:0410178,HP:0410179,t,t,f,Increased glucose-6-phosphate dehydrogenase level in blood,Decreased glucose-6-phosphate dehydrogenase level in blood
HP:0012392,HP:0033683,f,t,f,Jaw hyporeflexia,Jaw hyperreflexia
HP:0010231,HP:0010254,t,f,f,Enlarged epiphyses of the phalanges of the hand,Small epiphyses of the distal phalanges of the hand
HP:0000098,HP:0004322,t,t,f,Tall stature,Short stature
HP:0010650,HP:0430029,t,t,f,Hypoplasia of the premaxilla,Hyperplasia of the premaxilla
HP:0025693,HP:0025694,f,t,f,Pituitary macroadenoma,Pituitary microadenoma
HP:0410212,HP:0410213,t,t,f,Hyperoxemia in cord blood,Hypoxemia in cord blood
HP:0003077,HP:0045014,t,t,f,Hyperlipidemia,Hypolipidemia
HP:6000680,HP:6000681,f,t,f,Low serum osmolality,High serum osmolality
HP:0009521,HP:0010260,t,f,f,Small epiphysis of the middle phalanx of the 2nd finger,Enlarged epiphyses of the middle phalanges of the hand
HP:0033299,HP:0033300,f,t,f,Reduced circulating complement factor H related protein 1 concentration,Increased circulating complement factor H related protein 1 concentration
HP:0000289,HP:0011829,f,t,f,Broad philtrum,Narrow philtrum
HP:0000998,HP:0008070,f,t,f,Hypertrichosis,Sparse hair
HP:0003268,HP:0500204,t,f,f,Argininuria,Decreased CSF arginine concentration
HP:0000482,HP:0000485,t,t,f,Microcornea,Megalocornea
HP:0002154,HP:0012277,t,t,f,Hyperglycinemia,Hypoglycinemia
HP:0500233,HP:0500234,t,t,f,Increased CSF alanine concentration,Decreased CSF alanine concentration
HP:0012405,HP:0012406,t,t,f,Hypocitraturia,Hypercitraturia
HP:0009060,HP:0012895,f,t,f,Scapular muscle atrophy,Scapular muscle hypertrophy
HP:0005537,HP:0011877,t,t,f,Decreased mean platelet volume,Increased mean platelet volume
HP:0025587,HP:0025588,f,t,f,Hyperdeviation,Hypodeviation
HP:0410194,HP:0410195,t,t,f,Increased circulating UDP glucose-4-epimerase concentration,Decreased circulating UDP glucose-4-epimerase concentration
HP:0410190,HP:0410191,t,t,f,Decreased glucose-6-phosphate dehydrogenase level in leukocytes,Increased glucose-6-phosphate dehydrogenase level in leukocytes
HP:0031385,HP:0031388,f,t,f,Megakaryocyte nucleus hypolobulation,Megakaryocyte nucleus hyperlobulation
HP:0009258,HP:0009396,t,f,f,Small epiphysis of the distal phalanx of the 4th finger,Enlarged epiphyses of the 4th finger
HP:0001640,HP:0001961,f,t,f,Cardiomegaly,Hypoplastic heart
HP:0010165,HP:0010170,t,t,f,Enlarged epiphyses of the toes,Small epiphyses of the toes
HP:0003235,HP:0003658,t,t,f,Hypermethioninemia,Hypomethioninemia
HP:0000418,HP:0012811,f,t,f,Narrow nasal ridge,Wide nasal ridge
HP:0031836,HP:0031837,f,t,f,Increased circulating superoxide dismutase concentration,Decreased circulating superoxide dismutase concentration
HP:0031428,HP:0031429,f,t,f,Increased circulating osteocalcin level,Decreased circulating osteocalcin level
HP:0032128,HP:0032129,f,t,f,Increased proportion of plasmablasts,Decreased proportion of plasmablasts
HP:0001413,HP:0006577,f,t,f,Micronodular cirrhosis,Macronodular cirrhosis
HP:0010116,HP:0010121,t,t,f,Enlarged epiphyses of the hallux,Small epiphyses of the hallux
HP:0012237,HP:0034870,t,f,f,Urocanic aciduria,Reduced circulating urocanic acid concentration
HP:0003240,HP:0032460,f,t,f,Increased phosphoribosylpyrophosphate synthetase level,Decreased phosphoribosylpyrophosphate synthetase level
HP:0033985,HP:0100864,f,t,f,Elongated femoral neck,Short femoral neck
HP:0001824,HP:0004324,t,f,f,Weight loss,Increased body weight
HP:0005274,HP:0005278,f,t,f,Prominent nasal tip,Hypoplastic nasal tip
HP:0033448,HP:0033449,f,t,f,Increased mid-arm muscle circumference,Decreased mid-arm muscle circumference
HP:0001896,HP:0001923,t,f,f,Reticulocytopenia,Reticulocytosis
HP:0002516,HP:0012641,f,t,f,Increased intracranial pressure,Decreased intracranial pressure
HP:0005513,HP:0005548,t,f,f,Increased megakaryocyte count,Megakaryocytopenia
HP:0020059,HP:0020060,f,t,f,Increased red blood cell count,Decreased red blood cell count
HP:0002156,HP:0020222,t,f,f,Homocystinuria,Hypohomocysteinemia
HP:0001611,HP:0100271,f,t,f,Hypernasal speech,Hyponasal speech
HP:0006127,HP:0010241,t,t,f,Long proximal phalanx of finger,Short proximal phalanx of finger
HP:0004923,HP:0500141,t,t,f,Hyperphenylalaninemia,Hypophenylalaninemia
HP:0012250,HP:0012251,f,t,f,ST segment depression,ST segment elevation
HP:0000837,HP:0030339,t,t,f,Increased circulating gonadotropin level,Decreased circulating gonadotropin concentration
HP:0100194,HP:0100199,t,t,f,Enlarged epiphysis of the proximal phalanx of the 4th toe,Small epiphysis of the proximal phalanx of the 4th toe
HP:0004330,HP:0004331,t,t,f,Increased skull ossification,Decreased skull ossification
HP:0012341,HP:0012342,f,t,f,Microprolactinoma,Macroprolactinoma
HP:0033200,HP:0033204,f,t,f,Triceps hyporeflexia,Triceps hyperreflexia
HP:0007840,HP:0040054,t,t,f,Long upper eyelashes,Short upper eyelashes
HP:0033201,HP:0033205,f,t,f,Biceps hyporeflexia,Biceps hyperreflexia
HP:0002395,HP:0002600,t,t,f,Lower limb hyperreflexia,Hyporeflexia of lower limbs
HP:0002152,HP:0003075,f,t,f,Hyperproteinemia,Hypoproteinemia
HP:0000117,HP:0005571,f,t,f,Renal phosphate wasting,Increased renal tubular phosphate reabsorption
HP:0009222,HP:0009396,t,f,f,Small epiphysis of the middle phalanx of the 4th finger,Enlarged epiphyses of the 4th finger
HP:0012353,HP:0012354,f,t,f,Decreased fucosylation of N-linked protein glycosylation,Increased fucosylation of N-linked protein glycosylation
HP:0012356,HP:0012357,f,t,f,Decreased mannosylation of N-linked protein glycosylation,Increased mannosylation of N-linked protein glycosylation
HP:0000337,HP:0000341,t,t,f,Broad forehead,Narrow forehead
